0 52.701 null 0 null null
53233 4.95 Stand 0 null null
58233 2.64 Walk 0 null null
60899 0.594 Walk 201 null null
61499 0.165 Walk 201 ReachLazychair null
61666 0.264 null 201 ReachLazychair null
61933 0.198 null 201 ReachLazychair ReachLazychair
62133 0.462 null 201 null ReachLazychair
62599 1.881 null 201 null null
64499 1.881 null 201 ReleaseLazychair ReleaseLazychair
66399 0.033 null 201 null ReleaseLazychair
66433 0.99 null 201 null null
67433 25.08 Lie 201 null null
92766 0.132 null 201 null null
92899 0.495 null 201 ReachLazychair null
93399 1.452 null 201 ReachLazychair ReachLazychair
94866 0.033 null 201 null ReachLazychair
94899 2.64 null 201 null null
97566 0.561 null 0 null null
98132 1.452 Walk 0 null null
99599 1.683 Walk 202 null null
101299 0.759 Walk 202 null ReachDoor1
102066 0.528 Stand 202 null ReachDoor1
102599 0.033 Stand 202 null null
102632 2.64 Stand 202 null OpenDoor1
105299 0.033 null 202 null OpenDoor1
105332 0.099 Walk 202 null OpenDoor1
105432 3.432 Walk 202 null null
108899 0.495 Walk 202 null ReachSwitch
109399 0.099 null 202 null ReachSwitch
109499 0.495 Stand 202 null ReachSwitch
109999 0.759 Stand 202 null null
110766 0.264 Stand 202 null ReleaseSwitch
111032 0.066 Stand 202 null null
111099 0.198 Stand 202 null ReachSwitch
111299 0.297 Stand 202 null null
111599 0.627 Stand 202 null ReleaseSwitch
112232 1.518 Stand 202 null ReachDrawer3
113766 0.033 Stand 202 null null
113799 2.079 Stand 202 null OpenDrawer3
115899 2.013 Stand 202 null CloseDrawer3
117932 1.023 Stand 202 null null
118965 2.904 Stand 202 null OpenDrawer2
121899 0.33 Stand 202 null null
122232 1.848 Stand 202 null CloseDrawer2
124099 0.198 Stand 202 null null
124299 0.198 Walk 202 null null
124499 0.429 Walk 202 null ReleaseDrawer2
124932 4.422 Walk 202 null null
129399 0.858 Walk 202 null ReachDoor2
130265 0.099 null 202 null ReachDoor2
130365 0.528 Stand 202 null ReachDoor2
130899 0.033 Stand 202 null null
130932 3.102 Stand 202 null OpenDoor2
134065 0.858 Stand 202 null ReleaseDoor2
134932 0.033 null 202 null ReleaseDoor2
134965 0.033 null 202 null null
134999 3.696 Walk 202 null null
138732 0.231 Walk 202 null ReachDoor1
138965 0.132 Stand 202 null ReachDoor1
139099 0.033 Stand 202 null null
139132 0.231 Stand 202 null CloseDoor1
139365 1.221 Walk 202 null CloseDoor1
140599 0.924 Stand 202 null CloseDoor1
141532 1.584 Stand 202 null ReleaseDoor1
143132 0.264 Walk 202 null ReleaseDoor1
143399 4.95 Walk 202 null null
148399 0.396 Walk 202 null ReachDrawer3
148799 0.297 Stand 202 null ReachDrawer3
149099 2.772 Stand 202 null OpenDrawer3
151898 0.495 Stand 202 null ReleaseDrawer3
152398 0.066 Stand 202 null null
152465 0.231 Stand 202 null ReleaseDrawer3
152698 0.231 Stand 202 null null
152932 1.947 Stand 202 null CloseDrawer3
154898 0.396 Stand 202 null null
155298 0.396 Stand 202 null ReleaseDrawer3
155698 0.033 Stand 202 null null
155732 0.594 Stand 202 null ReachDrawer1
156332 1.65 Stand 202 null OpenDrawer1
157998 1.386 Stand 202 null null
159398 2.145 Stand 202 null CloseDrawer1
161565 0.297 Stand 202 null null
161865 0.528 Stand 202 null ReleaseDrawer1
162398 3.894 Walk 202 null null
166332 0.495 Walk 202 null ReachDoor2
166832 0.858 Walk 202 null CloseDoor2
167698 2.145 Stand 202 null CloseDoor2
169865 0.561 Stand 202 null LockDoor2
170432 0.198 Stand 202 null ReleaseDoor2
170632 0.396 Walk 202 null ReleaseDoor2
171032 4.62 Walk 202 null null
175698 0.726 Walk 202 null ReachFridge
176432 0.099 Stand 202 null ReachFridge
176532 0.957 Stand 202 null OpenFridge
177498 0.231 Stand 202 ReachFridge OpenFridge
177732 0.198 Stand 202 ReachFridge ReleaseFridge
177932 0.231 Stand 202 OpenFridge ReleaseFridge
178165 1.023 Stand 202 OpenFridge null
179198 0.033 Stand 202 null null
179232 0.363 Stand 202 ReleaseFridge null
179598 0.66 Stand 202 null null
180265 2.508 Stand 202 CloseFridge null
182798 0.231 Stand 202 ReleaseFridge null
183032 0.198 Stand 202 null null
183232 9.57 Walk 202 null null
192898 0.297 Walk 202 null ReachSwitch
193198 1.683 Stand 202 null ReachSwitch
194898 0.495 Stand 202 null ReleaseSwitch
195398 0.033 null 202 null null
195431 5.049 Walk 202 null null
200531 0.561 Walk 202 null ReachDoor2
201098 0.066 null 202 null ReachDoor2
201165 0.231 Stand 202 null ReachDoor2
201398 0.033 Stand 202 null null
201431 0.792 Stand 202 null UnlockDoor2
202231 2.046 Stand 202 null OpenDoor2
204298 0.033 null 202 null OpenDoor2
204331 0.099 Walk 202 null OpenDoor2
204431 0.561 Walk 202 null ReleaseDoor2
204998 2.409 Walk 202 null null
207431 0.66 Walk 202 null ReachDoor1
208098 0.033 Stand 202 null ReachDoor1
208131 0.99 Stand 202 null UnlockDoor1
209131 1.98 Stand 202 null OpenDoor1
211131 0.693 Walk 202 null OpenDoor1
211831 0.033 Walk 202 null null
211865 1.221 Walk 202 null ReleaseDoor1
213098 2.838 Walk 202 null null
215965 112.299 null 202 null null
329397 7.161 Walk 202 null null
336630 0.396 Walk 202 null ReachDoor1
337030 1.683 Walk 202 null CloseDoor1
338730 0.033 null 202 null CloseDoor1
338763 0.033 null 202 null null
338797 0.033 null 202 null LockDoor1
338830 1.452 Stand 202 null LockDoor1
340297 0.033 Stand 202 null null
340330 0.396 Stand 202 null ReleaseDoor1
340730 0.033 null 202 null ReleaseDoor1
340763 0.132 Walk 202 null ReleaseDoor1
340897 3.96 Walk 202 null null
344897 0.297 Walk 202 null ReachSwitch
345197 0.594 Stand 202 null ReachSwitch
345797 0.33 Stand 202 null ReleaseSwitch
346130 0.495 Stand 202 null null
346630 0.066 null 202 null null
346697 1.452 Walk 202 null null
348163 0.033 null 202 null null
348197 0.495 Stand 202 null null
348697 0.033 null 202 null null
348730 3.135 Walk 202 null null
351896 0.627 Walk 202 null ReachDoor2
352530 0.165 Walk 202 null CloseDoor2
352696 0.033 null 202 null CloseDoor2
352730 1.617 Stand 202 null CloseDoor2
354363 1.65 Stand 202 null LockDoor2
356030 0.693 Stand 202 null ReleaseDoor2
356730 0.033 null 202 null ReleaseDoor2
356763 0.066 Walk 202 null ReleaseDoor2
356830 5.115 Walk 202 null null
361996 0.033 null 202 null null
362030 0.429 Stand 202 null null
362463 0.033 null 202 null null
362496 0.198 Walk 202 null null
362696 0.792 Walk 202 null ReachDrawer1
363496 0.33 Stand 202 null ReachDrawer1
363830 0.957 Stand 202 null OpenDrawer1
364796 0.726 Stand 202 null CloseDrawer1
365530 1.089 Stand 202 null OpenDrawer1
366630 1.287 Stand 202 null CloseDrawer1
367930 0.429 Stand 202 null ReleaseDrawer1
368363 0.033 Stand 0 null ReleaseDrawer1
